Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
-4.165,55.83,316,400,13111,19952,939.405,0.32,0.33,2.21,0.345,0.008,1
-4.165,55.98,301,400,13107,19956,939.41,0.31,0.32,2.15,0.336,0.008,1
-4.166,56.07,309,400,13107,19952,939.407,0.3,0.31,2.08,0.325,0.0069999999999999,1
-4.167,56.2,316,400,13110,19951,939.417,0.28,0.29,1.93,0.302,0.0069999999999999,1
-4.176,54.08,295,400,13119,19964,939.398,0.27,0.28,1.85,0.288,0.0069999999999999,1
-4.18,52.21,295,400,13117,19964,939.404,0.28,0.29,1.89,0.295,0.0069999999999999,1
-4.18,51.91,302,400,13116,19959,939.399,0.31,0.33,2.17,0.3379999999999999,0.008,1
-4.181,51.67,290,400,13116,19972,939.406,0.34,0.36,2.36,0.368,0.008,1
-4.182,51.25,291,400,13120,19976,939.399,0.38,0.4,2.62,0.408,0.009,1
-4.183,51.08,299,400,13116,19973,939.393,0.39,0.4,2.68,0.417,0.009,1
-4.183,50.91,313,400,13111,19959,939.386,0.42,0.43,2.87,0.447,0.01,1
-4.184,50.74,315,400,13119,19966,939.387,0.42,0.44,2.9,0.452,0.01,1
-4.185,50.66,308,400,13112,19959,939.386,0.42,0.43,2.86,0.446,0.01,1
-4.186,50.6,293,400,13113,19959,939.391,0.41,0.43,2.86,0.445,0.01,1
-4.187,50.45,304,400,13116,19969,939.391,0.4,0.42,2.77,0.432,0.01,1
-4.187,50.37,300,400,13115,19966,939.387,0.39,0.41,2.7,0.421,0.009,1
-4.188,50.31,303,400,13112,19961,939.399,0.37,0.38,2.52,0.392,0.009,1
-4.189,50.24,311,400,13115,19958,939.394,0.36,0.37,2.47,0.384,0.009,1
-4.19,50.2,298,400,13119,19974,939.392,0.36,0.37,2.46,0.384,0.009,1
-4.19,50.06,297,400,13116,19966,939.397,0.36,0.37,2.45,0.382,0.009,1
-4.191,50.01,297,400,13112,19959,939.392,0.36,0.37,2.46,0.3829999999999999,0.009,1
-4.192,49.9,302,400,13116,19951,939.385,0.34,0.36,2.37,0.37,0.008,1
-4.1930000000000005,49.89,302,400,13114,19956,939.385,0.32,0.34,2.23,0.347,0.008,1
-4.194,49.86,312,400,13113,19959,939.383,0.32,0.33,2.2,0.342,0.008,1
-4.195,49.73,327,400,13094,19940,939.394,0.29,0.3,2.02,0.314,0.0069999999999999,1
-4.195,50.21,320,400,13092,19932,939.399,0.27,0.28,1.86,0.29,0.0069999999999999,1
-4.198,52.34,321,400,13103,19947,939.405,0.28,0.29,1.9,0.297,0.0069999999999999,1
-4.199,52.88,329,400,13098,19941,939.395,0.29,0.3,2.0,0.312,0.0069999999999999,1
-4.199,53.36,307,400,13104,19941,939.397,0.3,0.31,2.08,0.325,0.0069999999999999,1
-4.2,53.8,320,400,13103,19942,939.394,0.31,0.32,2.13,0.332,0.0069999999999999,1
-4.2010000000000005,54.16,315,400,13107,19950,939.389,0.31,0.32,2.13,0.3329999999999999,0.008,1
-4.202,54.46,323,400,13103,19953,939.397,0.31,0.32,2.11,0.3279999999999999,0.0069999999999999,1
-4.203,54.75,316,400,13104,19936,939.389,0.29,0.3,2.01,0.313,0.0069999999999999,1
-4.204,55.0,310,400,13107,19956,939.383,0.29,0.3,1.99,0.31,0.0069999999999999,1
-4.204,55.21,318,400,13103,19941,939.376,0.29,0.3,2.02,0.314,0.0069999999999999,1
-4.205,55.35,310,400,13113,19947,939.382,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.206,55.51,318,400,13100,19939,939.377,0.29,0.31,2.02,0.315,0.0069999999999999,1
-4.207,55.65,318,400,13102,19941,939.38,0.29,0.3,1.98,0.309,0.0069999999999999,1
-4.208,55.78,313,400,13102,19940,939.381,0.29,0.3,1.97,0.307,0.0069999999999999,1
-4.209,55.92,311,400,13103,19960,939.382,0.3,0.31,2.04,0.317,0.0069999999999999,1
-4.21,56.0,316,400,13114,19954,939.385,0.3,0.31,2.08,0.324,0.0069999999999999,1
-4.21,56.11,310,400,13103,19949,939.389,0.31,0.32,2.11,0.3289999999999999,0.0069999999999999,1
-4.211,56.21,302,400,13107,19949,939.4,0.33,0.34,2.25,0.351,0.008,1
-4.212,56.45,313,400,13104,19946,939.386,0.34,0.35,2.35,0.366,0.008,1
-4.213,56.53,306,400,13105,19951,939.399,0.35,0.36,2.38,0.371,0.008,1
-4.214,56.58,307,400,13111,19958,939.4,0.36,0.38,2.5,0.39,0.009,1
-4.215,56.69,314,400,13103,19953,939.399,0.38,0.39,2.58,0.4029999999999999,0.009,1
-4.216,56.75,318,400,13106,19953,939.399,0.38,0.39,2.58,0.4029999999999999,0.009,1
-4.217,56.82,314,400,12969,19946,939.389,0.37,0.38,2.55,0.397,0.009,1
-4.217,56.46,293,400,13126,19972,939.389,0.34,0.35,2.34,0.365,0.008,1
-4.218,54.97,0,400,13122,19967,939.395,0.32,0.34,2.23,0.349,0.008,1
-4.218999999999999,54.21,290,400,13125,19973,939.402,0.32,0.33,2.2,0.3429999999999999,0.008,1
-4.22,53.63,298,400,13117,19966,939.397,0.32,0.33,2.18,0.34,0.008,1
-4.221,53.14,303,400,13114,19963,939.404,0.31,0.32,2.14,0.3339999999999999,0.008,1
-4.222,52.7,303,400,13118,19963,939.396,0.29,0.31,2.03,0.316,0.0069999999999999,1
-4.223,52.33,303,400,13114,19961,939.385,0.28,0.29,1.95,0.305,0.0069999999999999,1
-4.245,51.05,321,400,13098,19932,939.41,0.31,0.32,2.14,0.3339999999999999,0.008,1
-4.246,52.3,322,400,13099,19942,939.397,0.34,0.35,2.32,0.362,0.008,1
-4.247,52.88,317,400,13105,19950,939.395,0.36,0.37,2.45,0.382,0.009,1
-4.247,53.33,320,400,13104,19948,939.391,0.36,0.38,2.51,0.391,0.009,1
-4.248,53.79,314,400,13106,19950,939.394,0.37,0.38,2.53,0.3939999999999999,0.009,1
-4.249,54.15,315,400,13109,19953,939.399,0.37,0.39,2.55,0.3979999999999999,0.009,1
-4.25,54.47,313,400,13109,19949,939.393,0.38,0.39,2.6,0.406,0.009,1
-4.251,54.71,307,400,13110,19952,939.383,0.38,0.39,2.58,0.4029999999999999,0.009,1
-4.252,54.98,316,400,13107,19948,939.387,0.36,0.37,2.48,0.387,0.009,1
-4.253,55.16,320,400,13105,19944,939.396,0.36,0.37,2.46,0.384,0.009,1
-4.254,55.37,319,400,13102,19949,939.394,0.34,0.36,2.36,0.368,0.008,1
-4.255,55.66,314,400,13103,19957,939.389,0.32,0.33,2.21,0.345,0.008,1
-4.256,55.79,318,400,13105,19954,939.388,0.3,0.31,2.03,0.317,0.0069999999999999,1
-4.257,55.9,318,400,13097,19936,939.383,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.258,56.05,308,400,13106,19950,939.375,0.29,0.3,1.99,0.311,0.0069999999999999,1
-4.259,56.13,311,400,13103,19947,939.383,0.28,0.29,1.95,0.304,0.0069999999999999,1
-4.269,56.82,314,400,13101,19947,939.385,0.27,0.29,1.89,0.294,0.0069999999999999,1
-4.27,57.0,291,400,13126,19972,939.381,0.28,0.29,1.95,0.304,0.0069999999999999,1
-4.271,56.39,292,400,13120,19970,939.375,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.272,55.6,296,400,13120,19970,939.377,0.31,0.32,2.12,0.33,0.0069999999999999,1
-4.273,54.79,285,400,13120,19972,939.379,0.32,0.33,2.17,0.3389999999999999,0.008,1
-4.274,53.59,306,400,13117,19962,939.394,0.31,0.32,2.13,0.332,0.008,1
-4.275,53.11,309,400,13116,19965,939.388,0.31,0.33,2.17,0.3379999999999999,0.008,1
-4.276,52.67,296,400,13119,19968,939.383,0.31,0.32,2.15,0.336,0.008,1
-4.277,52.34,305,400,13117,19970,939.384,0.31,0.32,2.12,0.33,0.0069999999999999,1
-4.2780000000000005,52.03,301,400,13118,19964,939.39,0.29,0.3,2.01,0.313,0.0069999999999999,1
-4.279,51.77,307,400,13115,19958,939.387,0.28,0.29,1.94,0.302,0.0069999999999999,1
-4.28,51.52,300,400,13115,19959,939.387,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.293,50.16,305,400,13113,19964,939.385,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.294,50.08,305,400,13112,19955,939.381,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.295,50.05,306,400,13120,19960,939.369,0.32,0.34,2.22,0.347,0.008,1
-4.296,49.98,302,400,13116,19962,939.358,0.35,0.36,2.38,0.372,0.008,1
-4.297,49.93,301,400,13115,19959,939.353,0.36,0.38,2.49,0.3879999999999999,0.009,1
-4.298,49.92,303,400,13114,19965,939.363,0.37,0.39,2.57,0.401,0.009,1
-4.299,49.76,329,400,13094,19926,939.364,0.39,0.4,2.67,0.416,0.009,1
-4.3,50.96,327,400,13092,19946,939.368,0.43,0.44,2.94,0.4589999999999999,0.01,1
-4.301,51.7,323,400,13095,19936,939.378,0.44,0.46,3.03,0.473,0.011,1
-4.302,52.35,336,400,13093,19927,939.37,0.45,0.46,3.07,0.479,0.011,1
-4.303,52.91,329,400,13096,19928,939.389,0.45,0.47,3.1,0.483,0.011,1
-4.305,54.18,311,400,13103,19940,939.375,0.42,0.44,2.9,0.451,0.01,1
-4.306,54.49,326,400,13103,19940,939.372,0.39,0.41,2.69,0.42,0.009,1
-4.307,54.76,334,400,13100,19944,939.359,0.38,0.39,2.58,0.4029999999999999,0.009,1
-4.308,55.04,317,400,13107,19945,939.362,0.36,0.37,2.47,0.385,0.009,1
-4.309,55.21,315,400,13107,19949,939.364,0.32,0.34,2.23,0.347,0.008,1
-4.31,55.43,315,400,13107,19939,939.375,0.31,0.32,2.11,0.3289999999999999,0.0069999999999999,1
-4.311,55.56,318,400,13103,19945,939.372,0.27,0.28,1.87,0.292,0.0069999999999999,1
-4.334,53.59,293,400,13120,19967,939.372,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.335,53.12,302,400,13113,19960,939.373,0.28,0.29,1.93,0.301,0.0069999999999999,1
-4.336,52.68,301,400,13118,19960,939.377,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.337,52.33,297,400,13116,19965,939.379,0.27,0.28,1.88,0.292,0.0069999999999999,1
-4.385,56.5,313,400,13110,19953,939.397,0.27,0.28,1.87,0.291,0.0069999999999999,1
-4.387,56.57,319,400,13103,19948,939.378,0.27,0.28,1.87,0.292,0.0069999999999999,1
-4.388,56.65,317,400,13104,19946,939.386,0.28,0.29,1.92,0.299,0.0069999999999999,1
-4.388999999999999,56.72,322,400,13101,19938,939.389,0.28,0.3,1.96,0.305,0.0069999999999999,1
-4.39,56.79,314,400,13105,19946,939.39,0.29,0.3,1.96,0.306,0.0069999999999999,1
-4.391,56.83,322,400,13107,19944,939.38,0.28,0.29,1.93,0.302,0.0069999999999999,1
-4.416,50.6,313,400,13108,19949,939.408,0.27,0.28,1.85,0.288,0.0069999999999999,1
-4.417,50.5,311,400,13105,19950,939.416,0.27,0.28,1.88,0.293,0.0069999999999999,1
-4.418,50.44,309,400,13108,19948,939.418,0.27,0.28,1.89,0.294,0.0069999999999999,1
-4.42,50.42,321,400,13107,19940,939.416,0.28,0.29,1.94,0.303,0.0069999999999999,1
-4.421,50.3,309,400,13108,19956,939.411,0.29,0.3,1.98,0.309,0.0069999999999999,1
-4.422,50.26,315,400,13111,19945,939.414,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.423,50.17,312,400,13109,19949,939.413,0.3,0.31,2.05,0.32,0.0069999999999999,1
-4.424,50.17,317,400,13107,19948,939.414,0.31,0.32,2.15,0.336,0.008,1
-4.426,50.11,307,400,13115,19959,939.413,0.32,0.33,2.18,0.34,0.008,1
-4.427,50.06,306,400,13112,19964,939.413,0.32,0.33,2.18,0.341,0.008,1
-4.428,50.01,318,400,13107,19943,939.407,0.31,0.32,2.13,0.332,0.0069999999999999,1
-4.428999999999999,49.99,308,400,13107,19945,939.394,0.3,0.31,2.07,0.324,0.0069999999999999,1
-4.43,49.85,329,400,13095,19932,939.401,0.3,0.31,2.03,0.317,0.0069999999999999,1
-4.432,50.38,337,400,13092,19923,939.4,0.29,0.3,1.99,0.31,0.0069999999999999,1
-4.433,51.13,334,400,13097,19926,939.403,0.28,0.29,1.92,0.299,0.0069999999999999,1
-4.434,51.86,335,400,13095,19929,939.414,0.28,0.29,1.94,0.302,0.0069999999999999,1
-4.435,52.53,327,400,13094,19930,939.416,0.28,0.29,1.91,0.299,0.0069999999999999,1
-4.436,53.03,322,400,13102,19948,939.413,0.27,0.28,1.88,0.293,0.0069999999999999,1
-4.438,53.52,0,400,13099,19938,939.41,0.27,0.28,1.86,0.291,0.0069999999999999,1
-4.444,55.13,322,400,13099,19945,939.425,0.28,0.29,1.91,0.297,0.0069999999999999,1
-4.445,55.35,319,400,13105,19939,939.417,0.28,0.29,1.95,0.305,0.0069999999999999,1
-4.446000000000001,55.52,334,400,13098,19928,939.424,0.28,0.29,1.94,0.303,0.0069999999999999,1
-4.447,55.68,333,400,13100,19938,939.408,0.28,0.29,1.92,0.3,0.0069999999999999,1
-4.449,55.82,321,400,13102,19945,939.422,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.45,55.99,332,400,13103,19942,939.431,0.3,0.31,2.05,0.319,0.0069999999999999,1
-4.4510000000000005,56.08,315,400,13104,19946,939.432,0.32,0.33,2.18,0.34,0.008,1
-4.452,56.23,324,400,13102,19945,939.435,0.32,0.33,2.19,0.342,0.008,1
-4.454,56.37,330,400,13098,19936,939.403,0.32,0.34,2.23,0.348,0.008,1
-4.455,56.56,310,400,13103,19938,939.421,0.34,0.36,2.36,0.368,0.008,1
-4.456,56.61,319,400,13104,19941,939.427,0.35,0.36,2.39,0.372,0.008,1
-4.457,56.72,318,400,13102,19945,939.428,0.37,0.38,2.51,0.392,0.009,1
-4.458,56.74,314,400,13098,19931,939.423,0.38,0.39,2.59,0.4039999999999999,0.009,1
-4.46,56.82,315,400,13094,19933,939.424,0.38,0.4,2.63,0.411,0.009,1
-4.461,56.89,326,400,13103,19941,939.422,0.39,0.41,2.71,0.423,0.01,1
-4.462,56.92,325,400,13105,19940,939.428,0.41,0.43,2.84,0.4429999999999999,0.01,1
-4.463,56.95,319,400,13103,19949,939.433,0.41,0.43,2.85,0.444,0.01,1
-4.465,57.09,304,400,13119,19971,939.415,0.41,0.43,2.83,0.441,0.01,1
-4.466,56.55,311,400,13117,19956,939.409,0.42,0.43,2.86,0.446,0.01,1
-4.467,55.71,306,400,13115,19960,939.411,0.41,0.42,2.81,0.439,0.01,1
-4.468,54.95,314,400,13118,19963,939.411,0.41,0.42,2.81,0.4379999999999999,0.01,1
-4.47,54.26,299,400,13117,19968,939.408,0.4,0.41,2.72,0.425,0.01,1
-4.471,53.68,314,400,13110,19952,939.396,0.4,0.42,2.75,0.43,0.01,1
-4.472,53.16,317,400,13110,19944,939.391,0.4,0.41,2.72,0.425,0.01,1
-4.473,52.75,307,400,13111,19961,939.384,0.39,0.4,2.67,0.417,0.009,1
-4.474,51.89,316,400,13107,19949,939.391,0.34,0.35,2.33,0.364,0.008,1
-4.476,51.7,309,400,13114,19954,939.397,0.31,0.32,2.13,0.331,0.0069999999999999,1
-4.477,51.5,310,400,13109,19957,939.398,0.31,0.32,2.12,0.331,0.0069999999999999,1
-4.478,51.32,318,400,13109,19950,939.39,0.3,0.32,2.1,0.327,0.0069999999999999,1
-4.479,51.13,308,400,13107,19955,939.386,0.38,0.4,2.63,0.41,0.009,1
-4.481,50.93,314,400,13112,19949,939.384,0.41,0.43,2.83,0.441,0.01,1
-4.482,50.76,323,400,13105,19937,939.39,0.41,0.43,2.85,0.444,0.01,1
-4.4830000000000005,50.68,325,400,13112,19948,939.393,0.41,0.42,2.8,0.436,0.01,1
-4.484,50.6,323,400,13107,19946,939.388,0.4,0.41,2.74,0.427,0.01,1
-4.486000000000001,50.53,316,400,13111,19947,939.392,0.38,0.4,2.62,0.409,0.009,1
-4.487,50.4,317,400,13109,19944,939.386,0.37,0.38,2.55,0.397,0.009,1
-4.488,50.32,322,400,13104,19936,939.394,0.36,0.38,2.5,0.389,0.009,1
-4.489,50.2,330,400,13107,19941,939.382,0.35,0.37,2.42,0.3779999999999999,0.009,1
-4.4910000000000005,50.09,318,400,13106,19941,939.385,0.35,0.36,2.41,0.376,0.008,1
-4.492,50.09,315,400,13105,19948,939.382,0.36,0.38,2.5,0.391,0.009,1
-4.493,50.01,328,400,13107,19944,939.379,0.36,0.38,2.5,0.39,0.009,1
-4.494,49.93,338,400,13098,19928,939.37,0.35,0.37,2.43,0.379,0.009,1
-4.496,50.45,337,400,13091,19923,939.364,0.34,0.36,2.37,0.369,0.008,1
-4.497,51.21,345,400,13088,19917,939.369,0.32,0.33,2.21,0.345,0.008,1
-4.498,51.92,348,400,13092,19923,939.375,0.32,0.33,2.17,0.3389999999999999,0.008,1
-4.499,52.56,336,400,13097,19927,939.386,0.3,0.31,2.06,0.321,0.0069999999999999,1
-4.501,53.13,336,400,13095,19929,939.389,0.29,0.3,1.99,0.31,0.0069999999999999,1
-4.506,54.69,333,400,13099,19935,939.398,0.27,0.28,1.88,0.293,0.0069999999999999,1
-4.507,54.96,318,400,13099,19940,939.41,0.29,0.3,1.99,0.31,0.0069999999999999,1
-4.508,55.17,330,400,13098,19934,939.413,0.3,0.31,2.08,0.325,0.0069999999999999,1
-4.509,55.37,327,400,13101,19939,939.401,0.3,0.32,2.09,0.326,0.0069999999999999,1
-4.511,55.54,329,400,13095,19932,939.413,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.512,55.73,332,400,13093,19931,939.414,0.29,0.3,1.99,0.31,0.0069999999999999,1
-4.513,55.9,331,400,13106,19932,939.411,0.33,0.34,2.27,0.354,0.008,1
-4.515,56.04,332,400,13099,19935,939.412,0.36,0.37,2.45,0.382,0.009,1
-4.516,56.11,333,400,13094,19936,939.396,0.4,0.42,2.75,0.429,0.01,1
-4.517,56.26,329,400,13100,19937,939.384,0.41,0.43,2.83,0.442,0.01,1
-4.518,56.33,330,400,13100,19930,939.377,0.42,0.43,2.87,0.4479999999999999,0.01,1
-4.52,56.44,326,400,13100,19935,939.376,0.41,0.43,2.85,0.444,0.01,1
-4.521,56.53,320,400,13103,19936,939.394,0.4,0.41,2.73,0.425,0.01,1
-4.522,56.64,327,400,13104,19938,939.401,0.38,0.4,2.64,0.412,0.009,1
-4.523,56.71,328,400,13101,19933,939.393,0.38,0.39,2.6,0.406,0.009,1
-4.525,56.72,328,400,13100,19938,939.382,0.38,0.4,2.62,0.408,0.009,1
-4.526,56.84,329,400,13101,19933,939.393,0.39,0.41,2.71,0.423,0.01,1
-4.527,56.89,335,400,13100,19936,939.394,0.4,0.42,2.78,0.433,0.01,1
-4.5280000000000005,56.92,330,400,13099,19934,939.392,0.41,0.42,2.81,0.4379999999999999,0.01,1
-4.53,57.06,335,400,13097,19930,939.374,0.42,0.43,2.86,0.446,0.01,1
-4.531000000000001,57.17,300,400,13120,19960,939.36,0.41,0.43,2.83,0.442,0.01,1
-4.532,56.61,302,400,13120,19958,939.366,0.41,0.43,2.83,0.442,0.01,1
-4.534,55.76,299,400,13113,19962,939.37,0.4,0.42,2.76,0.43,0.01,1
-4.535,55.04,308,400,13115,19961,939.364,0.39,1.86,2.69,0.419,0.009,1
-4.5360000000000005,54.3,309,400,13113,19951,939.363,0.38,0.39,2.6,0.406,0.009,1
-4.537,53.73,306,400,13118,19961,939.367,0.37,0.38,2.54,0.395,0.009,1
-4.539,53.24,312,400,13110,19948,939.373,0.34,0.36,2.37,0.369,0.008,1
-4.54,52.83,318,400,13109,19947,939.361,0.33,0.34,2.27,0.354,0.008,1
-4.541,52.46,321,400,13101,19945,939.352,0.31,0.32,2.12,0.33,0.0069999999999999,1
-4.542,52.17,318,400,13105,19952,939.362,0.31,0.32,2.1,0.3279999999999999,0.0069999999999999,1
-4.544,51.88,313,400,13110,19957,939.372,0.32,0.33,2.17,0.3389999999999999,0.008,1
-4.545,51.49,319,400,13109,19948,939.377,0.36,0.37,2.45,0.382,0.009,1
-4.546,51.32,315,400,13105,19947,939.38,0.36,0.37,2.45,0.382,0.009,1
-4.548,51.19,316,400,13100,19933,939.376,0.35,0.36,2.41,0.376,0.009,1
-4.549,51.01,326,400,13102,19941,939.372,0.34,0.35,2.35,0.366,0.008,1
-4.55,50.82,318,400,13108,19954,939.361,0.34,0.35,2.31,0.36,0.008,1
-4.551,50.76,312,400,13110,19945,939.359,0.33,0.34,2.24,0.35,0.008,1
-4.553,50.67,330,400,13105,19937,939.364,0.32,0.33,2.19,0.341,0.008,1
-4.553999999999999,50.57,317,400,13113,19946,939.375,0.3,0.31,2.04,0.319,0.0069999999999999,1
-4.555,50.5,315,400,13105,19944,939.374,0.29,0.3,2.01,0.314,0.0069999999999999,1
-4.557,50.43,326,400,13101,19931,939.373,0.28,0.29,1.91,0.298,0.0069999999999999,1
-4.558,50.34,0,400,13107,19944,939.373,0.28,0.29,1.95,0.304,0.0069999999999999,1
-4.559,50.32,316,400,13105,19941,939.369,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.56,50.25,329,400,13102,19927,939.379,0.3,0.31,2.04,0.319,0.0069999999999999,1
-4.562,50.17,319,400,13107,19943,939.382,0.29,0.3,1.99,0.311,0.0069999999999999,1
-4.563,50.12,326,400,13109,19939,939.371,0.28,0.29,1.94,0.303,0.0069999999999999,1
-4.577,54.4,330,400,13091,19924,939.373,0.27,0.28,1.88,0.293,0.0069999999999999,1
-4.578,54.71,342,400,13093,19922,939.375,0.29,0.3,2.01,0.314,0.0069999999999999,1
-4.58,54.99,332,400,13099,19931,939.363,0.29,0.31,2.03,0.317,0.0069999999999999,1
-4.581,55.22,334,400,13096,19929,939.361,0.3,0.31,2.05,0.32,0.0069999999999999,1
24.48,55.45,335,400,13095,19936,939.365,0.31,0.32,2.1,0.3279999999999999,0.0069999999999999,1
-4.584,55.63,334,400,13099,19933,939.354,0.32,0.33,2.17,0.3379999999999999,0.008,1
-4.585,55.79,332,400,13094,19931,939.37,0.32,0.33,2.19,0.341,0.008,1
-4.586,55.94,339,400,13102,19928,939.364,0.31,0.32,2.15,0.335,0.008,1
-4.587,56.11,326,400,13099,19935,939.357,0.31,0.32,2.1,0.3279999999999999,0.0069999999999999,1
-4.589,56.15,332,400,13098,19927,939.349,0.29,0.3,1.98,0.309,0.0069999999999999,1
-4.59,56.28,323,400,13103,19926,939.352,0.28,0.29,1.91,0.297,0.0069999999999999,1
-4.629,50.66,326,400,13103,19939,939.387,0.28,0.3,1.96,0.306,0.0069999999999999,1
-4.63,50.59,317,400,13104,19943,939.374,0.31,0.32,2.11,0.3289999999999999,0.0069999999999999,1
-4.631,50.46,323,400,13101,19942,939.361,0.34,0.36,2.37,0.37,0.008,1
-4.633,50.42,331,400,13099,19932,939.36,0.35,0.37,2.43,0.379,0.009,1
-4.634,50.36,322,400,13104,19949,939.369,0.38,0.39,2.59,0.4039999999999999,0.009,1
-4.635,50.29,322,400,13102,19939,939.386,0.39,0.41,2.69,0.419,0.009,1
-4.637,50.27,315,400,13108,19950,939.378,0.4,0.41,2.75,0.428,0.01,1
-4.638,50.2,323,400,13099,19945,939.377,0.4,0.41,2.73,0.426,0.01,1
-4.638999999999999,50.13,326,400,13095,19932,939.367,0.4,0.41,2.72,0.424,0.01,1
-4.641,50.11,327,400,13105,19938,939.376,0.39,0.4,2.68,0.418,0.009,1
-4.642,50.03,346,400,13091,19926,939.389,0.37,0.38,2.54,0.396,0.009,1
-4.643,50.53,341,400,13085,19921,939.386,0.36,0.37,2.45,0.3829999999999999,0.009,1
-4.644,51.3,344,400,13089,19916,939.384,0.34,0.36,2.36,0.368,0.008,1
-4.646,52.04,0,400,13089,19924,939.372,0.33,0.35,2.3,0.358,0.008,1
-4.647,52.66,332,400,13090,19919,939.368,0.33,0.34,2.26,0.353,0.008,1
-4.648,53.2,343,400,13091,19926,939.36,0.31,0.33,2.15,0.336,0.008,1
-4.65,53.68,344,400,13091,19926,939.366,0.31,0.32,2.13,0.3329999999999999,0.008,1
-4.651,54.45,342,400,13089,19927,939.369,0.33,0.35,2.29,0.357,0.008,1
-4.652,54.75,339,400,13094,19928,939.36,0.35,0.36,2.39,0.373,0.008,1
-4.654,55.01,339,400,13100,19937,939.369,0.35,0.36,2.39,0.373,0.008,1
-4.655,55.25,334,400,13101,19934,939.369,0.37,0.39,2.57,0.4,0.009,1
-4.656000000000001,55.49,344,400,13096,19926,939.365,0.38,0.39,2.61,0.408,0.009,1
-4.657,55.65,329,400,13100,19934,939.378,0.38,0.4,2.63,0.41,0.009,1
-4.659,55.93,335,400,13091,19923,939.375,0.37,0.38,2.51,0.392,0.009,1
-4.66,56.06,341,400,13092,19932,939.372,0.35,0.36,2.41,0.376,0.008,1
-4.6610000000000005,56.16,339,400,13094,19925,939.369,0.34,0.36,2.36,0.368,0.008,1
-4.663,56.32,331,400,13099,19928,939.366,0.32,0.34,2.22,0.347,0.008,1
-4.664,56.52,323,400,13101,19929,939.359,0.32,0.33,2.2,0.342,0.008,1
-4.665,56.68,331,400,13097,19934,939.371,0.32,0.33,2.21,0.345,0.008,1
-4.667,56.74,330,400,13098,19935,939.376,0.32,0.33,2.17,0.3389999999999999,0.008,1
-4.668,56.84,329,400,13099,19943,939.372,0.31,0.32,2.15,0.335,0.008,1
-4.669,56.93,330,400,13097,19925,939.371,0.31,0.32,2.11,0.3289999999999999,0.0069999999999999,1
-4.67,57.0,329,400,13098,19931,939.365,0.3,0.31,2.08,0.325,0.0069999999999999,1
-4.672,57.02,338,400,13094,19922,939.365,0.29,0.3,1.99,0.311,0.0069999999999999,1
-4.673,57.07,341,400,13090,19920,939.368,0.28,0.29,1.93,0.301,0.0069999999999999,1
-4.674,57.09,334,400,13095,19926,939.365,0.27,0.28,1.86,0.29,0.0069999999999999,1
-4.699,50.79,325,400,13101,19935,939.348,0.28,0.29,1.9,0.296,0.0069999999999999,1
-4.7,50.7,325,400,13096,19932,939.34,0.28,0.29,1.94,0.303,0.0069999999999999,1
-4.702,50.66,318,400,13106,19940,939.344,0.28,0.29,1.93,0.301,0.0069999999999999,1
-4.703,50.6,313,400,13099,19940,939.338,0.28,0.29,1.91,0.297,0.0069999999999999,1
-4.704,50.51,320,400,13098,19935,939.334,0.28,0.29,1.95,0.303,0.0069999999999999,1
-4.706,50.42,330,400,13105,19932,939.35,0.3,0.31,2.04,0.318,0.0069999999999999,1
-4.707,50.39,323,400,13107,19943,939.347,0.3,0.31,2.04,0.319,0.0069999999999999,1
-4.708,50.34,331,400,13097,19934,939.355,0.29,0.3,1.99,0.311,0.0069999999999999,1
-4.709,50.28,326,400,13100,19930,939.365,0.29,0.3,2.0,0.311,0.0069999999999999,1
-4.711,50.25,329,400,13099,19936,939.353,0.28,0.29,1.95,0.303,0.0069999999999999,1
-4.712,50.16,329,400,13105,19940,939.351,0.28,0.29,1.95,0.304,0.0069999999999999,1
-4.713,50.16,329,400,13100,19928,939.354,0.28,0.29,1.9,0.296,0.0069999999999999,1
-4.715,50.06,350,400,13084,19917,939.331,0.27,0.28,1.86,0.289,0.0069999999999999,1
-4.724,54.15,338,400,13091,19917,939.348,0.27,0.28,1.87,0.292,0.0069999999999999,1
-4.725,54.53,333,400,13090,19921,939.349,0.27,0.28,1.88,0.293,0.0069999999999999,1
-4.726,54.8,347,400,13096,19920,939.338,0.27,0.28,1.86,0.29,0.0069999999999999,1
-4.784,50.2,333,400,13096,19927,939.327,0.27,0.28,1.86,0.291,0.0069999999999999,1
-4.785,50.16,356,400,13081,19906,939.325,0.29,0.3,1.97,0.308,0.0069999999999999,1
